epoch,loss_tot,lr
0,0.396456,0.010000
 1,0.275671,0.010000
 2,0.209319,0.010000
 3,0.158478,0.010000
 4,0.081858,0.010000
 5,0.031570,0.010000
 6,0.027356,0.010000
 7,0.026739,0.010000
 8,0.023733,0.010000
 9,0.023445,0.010000
 10,0.025531,0.010000
 11,0.018283,0.010000
 12,0.025577,0.010000
 13,0.021529,0.010000
 14,0.019566,0.010000
 15,0.020044,0.010000
 16,0.020036,0.010000
 17,0.021461,0.010000
 18,0.020461,0.010000
 19,0.022989,0.010000
 20,0.021781,0.010000
 21,0.017397,0.010000
 22,0.019463,0.010000
 23,0.016657,0.010000
 24,0.017480,0.010000
 25,0.016557,0.010000
 26,0.019085,0.010000
 27,0.012859,0.010000
 28,0.018186,0.010000
 29,0.015279,0.010000
 30,0.016059,0.010000
 31,0.014397,0.010000
 32,0.014176,0.010000
 33,0.013251,0.010000
 34,0.015491,0.005000
 35,0.013811,0.005000
 36,0.011568,0.005000
 37,0.011245,0.005000
 38,0.012723,0.005000
 39,0.013414,0.005000
 